model,seed,attack,objective_mode,target_class,attack_roi,attack_run,baseline_run,validation_status,baseline_mAP50,attack_mAP50,mAP50_drop,mAP50_effectiveness,baseline_avg_conf,attack_avg_conf,avg_conf_drop,avg_conf_effectiveness,baseline_total_detections,attack_total_detections,detection_drop,defense,defended_run,defended_mAP50,mAP50_recovery_normalized,defended_avg_conf,avg_conf_recovery_normalized,defended_total_detections,detection_recovery_normalized,bootstrap_det_drop_lower,bootstrap_det_drop_upper,bootstrap_det_drop_ci_computed,bootstrap_conf_drop_lower,bootstrap_conf_drop_upper,bootstrap_conf_drop_ci_computed
yolo,42,deepfool,untargeted_conf_suppression,,,attack_deepfool,baseline_none,missing,,,,,0.762253,0.726849,0.035404,0.046447,100,22,0.780000,c_dog,tune_def_c_dog_004,,,0.834862,3.050873,5,-0.217949,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,attack_deepfool,baseline_none,missing,,,,,0.762253,0.726849,0.035404,0.046447,100,22,0.780000,jpeg_preprocess,tune_def_jpeg_preprocess_001,,,0.753743,0.759645,8,-0.179487,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,attack_deepfool,baseline_none,missing,,,,,0.762253,0.726849,0.035404,0.046447,100,22,0.780000,jpeg_preprocess,tune_def_jpeg_preprocess_002,,,0.868166,3.991539,5,-0.217949,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,attack_deepfool,baseline_none,missing,,,,,0.762253,0.726849,0.035404,0.046447,100,22,0.780000,jpeg_preprocess,tune_def_jpeg_preprocess_003,,,0.820526,2.645952,7,-0.192308,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,attack_deepfool,baseline_none,missing,,,,,0.762253,0.726849,0.035404,0.046447,100,22,0.780000,jpeg_preprocess,tune_def_jpeg_preprocess_004,,,0.791520,1.826657,6,-0.205128,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,attack_deepfool,baseline_none,missing,,,,,0.762253,0.726849,0.035404,0.046447,100,22,0.780000,jpeg_preprocess,tune_def_jpeg_preprocess_005,,,0.753743,0.759645,8,-0.179487,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,attack_deepfool,baseline_none,missing,,,,,0.762253,0.726849,0.035404,0.046447,100,22,0.780000,median_preprocess,tune_def_median_preprocess_001,,,0.861873,3.813809,4,-0.230769,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,attack_deepfool,baseline_none,missing,,,,,0.762253,0.726849,0.035404,0.046447,100,22,0.780000,median_preprocess,tune_def_median_preprocess_002,,,0.868216,3.992969,4,-0.230769,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,attack_deepfool,baseline_none,missing,,,,,0.762253,0.726849,0.035404,0.046447,100,22,0.780000,median_preprocess,tune_def_median_preprocess_003,,,0.768578,1.178649,6,-0.205128,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,attack_deepfool,baseline_none,missing,,,,,0.762253,0.726849,0.035404,0.046447,100,22,0.780000,median_preprocess,tune_def_median_preprocess_004,,,0.910783,5.195268,2,-0.256410,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,attack_deepfool,baseline_none,missing,,,,,0.762253,0.726849,0.035404,0.046447,100,22,0.780000,median_preprocess,tune_def_median_preprocess_005,,,0.861873,3.813809,4,-0.230769,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,attack_deepfool,baseline_none,missing,,,,,0.762253,0.726849,0.035404,0.046447,100,22,0.780000,median_preprocess,tune_def_median_preprocess_006,,,0.795657,1.943494,2,-0.256410,,,false,,,false
